,MGI,RGD,ZFIN,FB,WB,SGD
UBERON:0001062,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0005409,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0005726,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0001009,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0000949,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0002330,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0002193,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0002423,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0002416,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0007037,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0002204,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0001016,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0001008,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0000990,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0001004,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0001032,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0002105,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0002104,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0000925,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0000924,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0000926,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0003104,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
UBERON:0001013,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0000026,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:0016887,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
UBERON:6005023,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
UBERON:0002539,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
UBERON:AnatomyOtherLocation,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0000000,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0000068,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:PostEmbryonicPreAdult,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
UBERON:0000113,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
